"company","category","size","title","level","city","url","updated"
"Claroty","Cybersecurity","l","Project Manager (Customer Experience / Deployment Delivery)","Manager","תל אביב-יפו","https://www.comeet.com/jobs/Claroty/F2.004/project-manager-customer-experience--deployment-delivery/1E.665?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Global-e","Productivity","l","Director of Customer Service","Executive","פתח תקווה","https://www.comeet.com/jobs/global-e/62.002/director-of-customer-service/D8.760?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Gloat","Productivity","m","Customer Success Manager (IL)","Representative","תל אביב-יפו","https://www.comeet.com/jobs/gloat/E5.000/customer-success-manager-il/02.96D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Moon Active","Gaming","l","Tier 2 Technical Support","Representative","תל אביב-יפו","https://www.comeet.com/jobs/moonactive/A2.00C/tier-2-technical-support/19.81B?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Okoora","Fintech","s","Head of Customer Success","Executive","תל אביב-יפו","https://www.comeet.com/jobs/okoora/85.00C/head-of-customer-success/DD.464?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Rapyd Financial Network","Fintech","l","Customer Support Specialist - Student Position","Student","תל אביב-יפו","https://www.comeet.com/jobs/rapyd/73.00E/customer-support-specialist---student-position/BD.F43?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Rapyd Financial Network","Fintech","l","IT Support Team Lead","Manager","תל אביב-יפו","https://www.comeet.com/jobs/rapyd/73.00E/it-support-team-lead/23.160?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"SuperPlay","Gaming","l","Customer Support Manager","Manager","תל אביב-יפו","https://www.comeet.com/jobs/superplay/28.003/customer-support-manager/67.664?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-16"
"Gett","Automotive","l","Customer Service Representative","Representative","פתח תקווה","https://www.comeet.com/jobs/gett/A0.002/customer-service-representative/40.46D?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
"Waterfall Security Solutions","Cybersecurity","m","Customer Solutions Engineer","Representative","ראש העין","https://www.comeet.com/jobs/waterfall-security/C7.009/customer-solutions-engineer/27.768?utm_source=techmap&utm_medium=csv&utm_campaign=github&utm_term=apply","2026-04-15"
